#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.skynews.com.au/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://michaelgeheren.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://saskiaderothschild.com/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.dailyreckoning.com.au/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://monikajaruzelska.com/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.dw.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.rumrebellion.club/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://businesstech.co.za/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.bbcnews.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://ma3azef.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://ireport.cnn.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.canal-i.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://tv.economico.sapo.pt/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://faculty.txstate.edu/profile/1921581
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.nlgja.org/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://grnlive.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://sbscnbc.sbs.co.kr/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.pacodocu.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.tf1info.fr/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.off-investigation.fr/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://techgarage.blog/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.welt.de/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://independent.co.uk/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.africanews.com/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.wired.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://francais.rt.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.theguardian.com/news/series/pegasus-project
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://finanzsache.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://mninews.deutsche-boerse.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://toussaintnothias.com/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.huffingtonpost.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.presstv.com/Default/Live
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.ashoka.org/en/fellow/asim-sarode
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.marketwatch.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://vingt55.ca/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.fightmag.net/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.thedohadebates.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.rdsinfo.ca/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.ntn24.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.annawiener.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://books.google.com/books?id=hHI4AQAAIAAJ
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://hussman.unc.edu/directory/faculty/trevy-mcdonald
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://sjawards.aaas.org/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://influencermagazine.uk/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.eitb.eus/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://faculty.txstate.edu/profile/2266636
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.pulselive.co.ke/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://intern.tagesschau.de/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://apublica.org/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://forbiddenstories.org/fr/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.srf.ch/tv
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.garethcrocker.com/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://ogtv.com.ng/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.eco.com.mx/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.ctvnews.ca/ctv-news-channel
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.euronews.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://transjournalists.org/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.cnnchile.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://profiles.stanford.edu/ziya-tumgoren
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.mediapart.fr/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.dejaview.news/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.wired.co.uk/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.investmentweek.co.uk/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://yle.fi/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://beme.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.petrareski.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.psu.ru/personalnye-stranitsy-prepodavatelej/a/vladimir-vasilevich-abashev
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.balkanweb.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.publicintegrity.org/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.industryweek.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://gol.caracoltv.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.brandeis.edu/politics/index.html
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.moneymorning.com.au/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.freemedia.at/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.pulse.ng/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.tn.com.ar/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://alalam.ir/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.hannahweinberger.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://sjawards.aaas.org/awards/field_award_category/childrens-science-news-1
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://pureprojects.ppad.man.ac.uk/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://tv2news.dk/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.cbc.ca/cbcnewsnetwork
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.trtturk.com.tr/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.fnbaloncesto.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://bibpurl.oclc.org/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.cnnturk.com/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.tvn24bis.pl/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://amabhungane.org/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://carolineallen.work/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.radio-canada.ca/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.umi.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://klimavoracht.de/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.icij.org/investigations/pandora-papers/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.icij.org/investigations/fincen-files/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.bbc.co.uk/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://elmon.cat/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://bnc.tv/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.ta3.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.blogger.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.contentreserve.com/TitleInfo.asp?ID=%7B33F42031-B5CF-4AA5-A1DB-CBFD563AFD8C%7D&Format=304
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.cnn.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://dtmaxdotcom.wordpress.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://newsinitiative.withgoogle.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.forum.com.mk/index.htm
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://iwatchafrica.org/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.bbc.com/news/world_radio_and_tv
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.katiamoskvitch.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://overtime.tv/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.pollysamson.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.rbctv.rbc.ru/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.telesurtv.net/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://pitchfork.com/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.aps.sn/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.professionalpensions.com/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.forbes.com/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.ft.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://becklog.zeitgeist-online.de/curriculum-vitae
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://carlosrabascall.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://leonidparfenov.ru/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.trthaber.com/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.rte.ie/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.foxnews.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.ezflar.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.lettera43.it/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://newsinitiative.withgoogle.com/google-news-lab
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.i24news.tv/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://paromitapain.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://g1.globo.com/globonews/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.theguardian.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://bibpurl.oclc.org/web/1646
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.adnkronos.com/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://fr.africacheck.org/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://webtv.ert.gr/ert1
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.jensweinreich.de/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://techcrunch.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.dmgmedia.co.uk/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.fastcompany.com/online/resources/currentissue.html
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.cnbce.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://wsimag.com/de
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.france24.com/en/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.icij.org/investigations/paradise-papers/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.pulse.com.gh/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.umi.com/pqdauto/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://balistrad.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://sjawards.aaas.org/awards/field_award_category/television-depth-reporting-9
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://luskin.ucla.edu/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://dohadebates.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://pages.charlotte.edu/tgallica/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.africanews.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.usp.br/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://sjawards.aaas.org/awards/field_award_category/radio-6
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.publish2.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.agj.ch/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.jopinie.nl/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.wisconsinwatch.org/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.ejta.eu/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.journalist-magazin.de/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://wired.jp/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://tg24.sky.it/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.tagesschau24.de/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.dr.dk/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://kirkhamilton.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://kulturedchild.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.kloepfer-meyer.de/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.deepdotweb.info/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.irinn.ir/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.wsj.com/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.presstv.com/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.news18.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://businesstech.co.za/news
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.rtp.pt/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://duncancampbell.org/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://wsimag.com/it
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.rtm.gov.my/new/bm/index_tv1.php
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.sipiapa.org/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://profiles.stanford.edu/james-risser
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.qub.ca/tvaplus/lcn
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://theins.ru/en
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://paradisepapers.de/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.maxkolonko.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://faculty.txstate.edu/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.thetimes.co.uk/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.canaln.pe/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://noticias.caracoltv.com/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.ny1.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://medium.com/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://sic.sapo.pt/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.mashable.com/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://news.sky.com/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.businessinsider.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://forbiddenstories.org/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.icij.org/investigations/panama-papers/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://globalnews.ca/bc/program/bc-1/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://al24news.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://prismreports.org/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.fnbaloncesto.com/es/revistas625.asp
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.harmaila.eus/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.tvi24.pt/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.rt.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.skynewsarabia.com/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.almayadeen.net/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://bd.toonsmag.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.sej.org/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.bellingcat.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.mhi.com.my/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.iffnews.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://profiles.stanford.edu/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://kim-wall.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.ccma.cat/324/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.14ymedio.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.healthjournalism.org/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://perezabellan.webcindario.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.kendrawrites.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.haberler.com/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://www.bbc.co.uk/news
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.hnjrani.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://ar.toonsmag.com/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.bibliothek.uni-regensburg.de/ezeit/?2712152
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.apa.at/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.tutkiva.fi/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://persmuseum.nl/
#REASON=DUPLICATE#random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=http://www.fair.org/
random=RANDOM;keep_random=1;all=1;keep_all=1;depth=1;url=https://wsimag.com/es
