#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.bhaskar.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.fijitimes.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://barnstablepatriot.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.ratchakitcha.soc.go.th/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.expresso.pt/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.elpueblo.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.flensburgjournal.de/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.bnd.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.gazettechicago.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.loc.gov/chroniclingamerica/lccn/sn84027239/issues
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.yurtgazetesi.com.tr/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.lapressedevesoul.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.dfw.com/mld/dfw/news/local/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.almadina.co.il/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.eveningtribune.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.c3.hu/scripta/beszelo.htm
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.gazettelive.co.uk/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.canadansanomat.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://sfreporter.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://hbtimes.in/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://wickedlocal.com/kingston
random=RANDOM;all=1;keep_all=1;depth=1;url=http://thechurchnews.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.expressen.se/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.coloradostatesman.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://mairie14.paris.fr/pages/les-publications-du-14e-11262
random=RANDOM;all=1;keep_all=1;depth=1;url=http://singtao.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.neurope.eu/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://sdg.iisd.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.cityandstateny.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://mundonegro.inf.br/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.reforme.net/categorie-produit/journal/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.vperyod.ru/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.tribunacampeche.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.nownews.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.lavozdelpueblo.com.ar/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.theprovince.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.bizjournals.com/philadelphia/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://starofmysore.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://chroniclingamerica.loc.gov/lccn/sn85025295/issues/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.thesudburystar.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.diariolaantena.com.ve/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.centraloregonian.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://search.epnet.com/direct.asp?db=f5h&bquery=is+00022403&scope=site
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://tdn.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.falkopingstidning.se/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://mainecampus.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.qctimes.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://dailyuw.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://catalunyadiari.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.dwnews.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.nordbayern.de/nuernberger-nachrichten
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.washingtonhispanic.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://warontherocks.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.se.pl/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://telegraaf.nl/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.theargus.co.uk/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.hankookilbo.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.dagogtid.no/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.defense-update.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://bowdoinorient.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.wellsvilledaily.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://fairfaxmedia.pressreader.com/the-timaru-herald
random=RANDOM;all=1;keep_all=1;depth=1;url=http://km.rfi.fr/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.championnews.com.ng/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://газетамарийэл.рф/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.ruoholahdensanomat.fi/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.sina.com.cn/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://genevasolutions.news/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.wagonertribune.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.thenewsherald.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.pinknews.co.uk/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.mvd.gov.by/ru/page/rup-ob-edinennaya-redakciya-ministerstva-vnutrennih-del-respubliki-belarus/gazeta-na-strazhe
random=RANDOM;all=1;keep_all=1;depth=1;url=http://газета-уральский-рабочий.рф/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.zueriost.ch/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.russian-bazaar.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.TheBostonPilot.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.kesknadal.ee/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://kawsachunnews.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.duwun.com.mm/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.georgetownvoice.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://be.wikimedia.org/wiki/Newsletter/2016-09_nouvelles
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.newtimes.co.rw/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://postcrescent.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.carynews.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://caen.fr/caen-mag
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.montereyherald.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.sundaytimes.co.za/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.francetvinfo.fr/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.somersetcountygazette.co.uk/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.kimpress.by/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.jv.dk/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.thisisexeter.co.uk/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.sheboyganpress.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.noveknihy.cz/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://thedp.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://esaimaa.fi/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://thealpenanews.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://jayisgames.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.anglocelt.ie/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.tiempolibredigital.com.mx/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://elamerican.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.caribbeannationalweekly.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.den-svenske.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.dejaview.news/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.samessenger.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.elmundo.com.ve/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://ezproxy.library.arizona.edu/login?url=http://infoweb.newsbank.com/?db=CHOB
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.lpi.usra.edu/publications/newsletters/lpib/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://tishreen.news.sy/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.tribtoday.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.newsandsentinel.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://ukrfootball.ua/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.varldenidag.se/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://thehawaiiindependent.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.loc.gov/chroniclingamerica/lccn/sn84028745/issues
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.laval.ca/Pages/Fr/A-propos/bulletin-municipal-vivre-a-laval.aspx
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.foinse.ie/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://hindi.news18.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://heraldo.mx/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.laweekly.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://search.proquest.com/hnpcincinnatienquirer
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.lejeudi.lu/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://mauinow.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.waz.de/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.bbjtoday.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.epochtimes.com.ua/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.comune.carbonera.tv.it/myportal/C_B744/amministrazione/carbonera_notizie#4fadd8182d1e4a11a8d66c74c1452164
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.lanazione.it/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.blueridgenow.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://search.ebscohost.com/direct.asp?db=bwh&jid=Arkansas_Democrat_Gazette__Little_Rock__AR_&scope=site
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.dz.com.pl/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://digital.odt.co.nz/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.theclaytontribune.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.hnonline.sk/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.sfvbj.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.spektr.fi/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.vt.se/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.stuttgartdailyleader.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://archives.meuse.fr/search?preset=41&view=list
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.bigissue.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.usls.edu.ph/Integrated%20School/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.allehanda.se/vasternorrlands-allehanda
random=RANDOM;all=1;keep_all=1;depth=1;url=https://variety.com/vcategory/daily-variety/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.beaveronline.co.uk/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.guardian.bz/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.urhobovanguard.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.kobe-np.co.jp/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.arras.fr/fr/publications
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.echo-dnia.com.pl/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://gallica.bnf.fr/ark:/12148/cb327773077/date
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.diariodemallorca.es/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://paita.nc/publications/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.chosun.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://theava.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.rep.ru/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.suedostschweiz.ch/zeitung/gratiszeitungen?newspaper=wzbw#newspaper_widget
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://fr.timesofisrael.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.baltimoregaylife.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://rbth.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.pravda-nn.ru/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.neuilly-journal.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.kansanuutiset.fi/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://elaphmorocco.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.pilipinomirror.com.ph/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://ktrk.com.ua/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.rozsdakupac.hu/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://sitkasentinel.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.nara-np.co.jp/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.theislandernewspaper.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.godisageek.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.em.com.br/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://observer.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.imprensanacional.gov.br/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.fuw.edu.pl/dyrdymalki/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.newsreview.com/sacramento/home
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.styga.gr/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.newportdailynews.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.uptownmag.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.faremoutiers.org/fr/information/89772/bulletin-municipal
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.laconscience.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.SETiT.us/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://lohud.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.tmworld.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.scrantongillette.com/content/who-we-are
random=RANDOM;all=1;keep_all=1;depth=1;url=http://luminatorul.wordpress.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://oregonnews.uoregon.edu/lccn/sn84022673/1871-05-05/ed-1/seq-1/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.stjuliendeslandes.fr/categorie/votre-mairie/publications-municipales-votre-mairie/bulletins-municipaux/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.alfajr-news.net/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.tyrvaansanomat.fi/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.appenzellerzeitung.ch/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.catalunyareligio.cat/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://actu.fr/lot/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.saarbruecker-zeitung.de/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.sdbj.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.jemabonne.fr/magazine-le-journal-du-dimanche.html
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.timeslive.co.za/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://gallica.bnf.fr/ark:/12148/cb32755585p/date
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.douglascountynews.info/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.irozhlas.cz/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.dn.se/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.dysartreporter.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.ledroit.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.chathamthisweek.ca/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://folha.uol.com.br/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.dailypost.co.uk/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.dddkursk.ru/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.bundesgesetzblatt.de/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.jeuxactu.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.esto.com.mx/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.cassville-democrat.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://meaww.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.aspentimes.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.extra-m.ru/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.borderlandbeat.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://credo.press/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.westerngazette.ca/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://funglr.games/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://scnow.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.nikkan.co.jp/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.dagensmedicin.se/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://golosarmenii.am/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.ville-sens.fr/publications/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.calgarysun.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.rhein-zeitung.de/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.thevarsity.ca/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.oamarumail.co.nz/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.romfordrecorder.co.uk/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://martinsvillebulletin.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://wsimag.com/es
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.military.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://slovo.kg/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.argenteuil.fr/60
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.attajdid.ma/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.suedostschweiz.ch/tv/2016-02-10/klosterser-zeitung
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://westernherald.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://vesti70.ru/stats/?section_id=1
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.gazette-news.co.uk/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://gamerant.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://cruxnow.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.saojosedoegito.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.sovereignph.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.tydenikhrot.cz/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://rosalis.bibliotheque.toulouse.fr/ark:/12148/cb327311271/date
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://recordpub.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.gazzettadimantova.it/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.hillsdalecollegian.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.pzc.nl/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.vb.kg/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.akkrt.hu/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.estrepublicain.fr/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.diarioeldia.cl/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.almasryalyoum.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://gallica.bnf.fr/ark:/12148/cb32833469/date
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.tervareitti.fi/
