#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://acpcongo.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://realpolitik.com.ar/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://aksam.com.tr/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://jamiat.org.za/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://kanal3.bg/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://chilango.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://lanouvellegazette.be/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://grist.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://gothamgazette.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://elpaso411.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://fonearena.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://illinoishomepage.net/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://alfabank.ua/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://kickincountry.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://kbc.co.ke/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://auto.hljnews.cn/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://ssireview.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://apo.org.au/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://northwestgeorgianews.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://gadget.co.za/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://kalabakacity.gr/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://boxingnewsonline.net/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://tipakan.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://communitycommon.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://hudsonreporter.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://pocononews.net/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://tv.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://rightspeak.net/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://chabad.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://astanafm.kz/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://perezhilton.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://stanford.edu/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://terra.com.pe/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://in-cumbria.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://urjii.info/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://palmbeachillustrated.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://sag.gob.hn/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://businesstraveller.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://classicalmusicmagazine.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://c4ss.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://regiaonoroeste.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://calbears.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://godanriver.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://infosalus.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://warwickdailynews.com.au/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://index.hr/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://gizmodo.co.uk/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://bristol247.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://times-age.co.nz/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://leftlanenews.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://popjustice.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://kymnradio.net/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://islamedia.co/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://mysunshinecoast.com.au/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://nanotechweb.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://motthegioi.vn/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://aawsat.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://acento.com.do/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://cnnindonesia.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://meutimao.com.br/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://alahverdiannews.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://niagara-gazette.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://thelocalvoice.net/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://aceweekly.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://teachersnews.net/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://cnb.cz/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://mtu.edu/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://gateline.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://terra.com.co/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://viewerscorner.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://businessinsavannah.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://enewspf.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://jegoun.net/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://marketsemerging.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://simonpotamos.org.uk/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://newstonight.co.za/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://winfieldcourier.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://wwarii.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://toyotanation.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://belizetimes.bz/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://drjays.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://allmediascotland.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://dailyliberal.com.au/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://ceafa.es/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://sinmordaza.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://thegrocer.co.uk/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://utahstateaggies.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://dudleynews.co.uk/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://dickinson.edu/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://brixtonblog.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://birdsofsaudiarabia.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://gov.bc.ca/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://nzhealthtec.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://statcan.gc.ca/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://fcw.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://sheboyganpress.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://wsaz.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://gregfallis.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://embassy.gov.lk/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://jfinfo.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://stol.it/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://chathamjournal.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://wjtv.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://chathamthisweek.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://248am.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://securitysystemsnews.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://vasanthamfm.lk/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://dominicanrepublicvacations.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://specificationonline.co.uk/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://electricalmarketing.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://agrigento.gds.it/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://swr.de/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://onslowtimes.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://cun.org.ua/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://felesteen.ps/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://haberdeposu.net/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://prnews.com.ph/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://sma.de/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://columbiametro.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://eluniversaledomex.mx/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://redstate.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://leliberolyon.fr/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://copticorphans.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://bcliving.ca/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://nhletsgo.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://bridlingtonfreepress.co.uk/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://publituris.pt/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://agefi.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://oncampus.macleans.ca/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://hesperiastar.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://online-911.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://hutchpost.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://jewishheritagemonth.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://cartercenter.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://instyle.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://hometownstations.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://kbtx.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://radiopnr.it/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://thecherokeean.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://revistas.elheraldo.co/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://theindianleader.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://lecourrier-dalgerie.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://inmeteo.net/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://rttlep.tl/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://gonzalesinquirer.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://batonrougepost.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://057.ua/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://zgswcn.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://rallye-info.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://ridiculousupside.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://navytimes.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://firsthandweather.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://siracusa.blogsicilia.it/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://perfecte.md/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://kashmirtimes.in/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://princewilliamliving.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://ambrosiaforheads.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://miningfeeds.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://commonperu.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://wn.de/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://rtvnof.nl/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://espndeportes1450.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://breakingbrown.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://wilsontimes.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://utahpulse.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://prinslist.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://inarkansas.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://diken.com.tr/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://inyourpocket.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://liberte-algerie.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://onuitalia.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://yaostrov.ru/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://apnewscorner.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://wxii12.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://alumnicareers.co.za/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://702.co.za/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://eltiempo.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://globaleconomy.pl/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://miamiherald.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://khpg.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://notrickszone.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://constructionweekonline.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://alarab-news.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://carsonnow.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://safeenergy.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://ninemsn.com.au/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://foodproductiondaily.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://tripbeam.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://iowastatedaily.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://imore.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://emlakgazeten.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://2001.com.ve/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://tripatini.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://tsn.ca/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://greenpeace.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://thezebra.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://gouv.nc/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://siol.net/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://palermotoday.it/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://bongda24h.vn/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://oklahoman.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://uconn.edu/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://orientaldaily.com.my/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://drugstorenews.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://deutsche-apotheker-zeitung.de/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://lawweekonline.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://margaretrivermail.com.au/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://salzburg24.at/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://richardhowe.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://automoto.it/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://businessetc.thejournal.ie/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://en.people.cn/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://atmmarketplace.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://associationsnow.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://radioviva.com.py/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://vmt.nl/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://qcitymetro.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://prmac.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://tabloidbintang.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://bluff.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://keranews.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://demokraten.no/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://kevinmd.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://antonyloewenstein.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://paulsvalleydailydemocrat.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://minicassia.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://woodworker.de/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://lehighvalleylive.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://wellingtondailynews.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://cumberlink.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://fatimanews.com.br/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://eastwoodadvertiser.co.uk/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://forconstructionpros.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://manunitedonly.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://greaterkashmir.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://getreligion.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://katalogmonet.pl/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://nhl.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://bhol.co.il/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://kait8.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://hpphilly.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://nswrl.com.au/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://gov.ms/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://utahnewssource.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://adenalghad.net/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://zdr.ru/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://patriafm.org.ve/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://rondoniadinamica.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://polynesie.la1ere.fr/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://southerndestinations.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://helpage.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://northernpen.ca/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://region-basse-normandie.fr/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://euro.com.ua/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://jlstnet.net/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://chronicleonline.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://grainnet.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://tonedeaf.com.au/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://tennesseedaily.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://giornaledicomo.it/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://sykescottages.co.uk/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://mosaico-cem.it/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://treeyopermaculture.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://impacto.mx/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://stavba.tzb-info.cz/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://inside-channels.ch/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://healthnews.com.tw/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://carolineinthecityblog.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://tctmd.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://hotfmnigeria.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://eastmans.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://professionaljeweller.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://constructionweekonline.in/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://om1.ru/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://suchtv.pk/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://retaildive.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://lebaneseexaminer.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://globalspec.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://sfexaminer.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://dirtrider.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://russieinfo.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://foreignpolicyjournal.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://cittadellaspezia.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://lifehacker.co.uk/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://meteomedia.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://onedayonearth.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://ipolitics.ca/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://gate1travel.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://news.hsw.cn/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://columbiachronicle.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://tibet.news.cn/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://thezimbabwemail.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://newrydemocrat.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://energybangla.com/
