#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://lettre-amazonie.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://me-onefoundation.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.the-american-catholic.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://jewishinstlouis.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.arkansas-catholic.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://sdarchitecture.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.alz.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://h14s.p5r.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.catholicapologetics.info/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.redandblack.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.alexslemonade.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://kprz.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://about.sprouts.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.jamesbeard.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.ilovethepromise.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://livingchurch.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://sib-catholic.ru/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.riograndecatholic.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://libertarianchristians.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://nebpress.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://jeunedioceselyon.mesvideos.croire.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://goccn.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://eparhia.dp.ua/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.matercare.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://parentsvacances.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.israel21c.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.abbevillenow.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://pakitoarriaran.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.techgospelaccordingtojohn.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.anauco.net/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.dersonntag.ch/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.quechoisir.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://archis.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://incarnation.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.kcjc.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.fondazionetoscanini.it/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.jewishexponent.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://asiartisans.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://dioceseofnashville.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.pewtrusts.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://warszawa.gosc.pl/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://bush41.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.amitiefrancecoree.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.msbroadcasters.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.radioclatterbridge.co.uk/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.globalresearch.ca/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.inba.net/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.thedotcultura.it/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://kikar.co/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://jinsa.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://liturgia.wiara.pl/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.amisdelaterre.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.ecma-international.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://wqphradio.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.absw.org.uk/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.alislam.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.gafcon.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.churchofengland.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://catholicprophecy.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://tibet.net/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.secoloditalia.it/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.cbf.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.canarymedia.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.jewishaz.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://gulfpinecatholic.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.kaxl.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://100blackmen.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.diocese-eastcarolina.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://ussoccerplayers.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://es.aleteia.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.themarshallproject.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.onepeterfive.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://wadiocese.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://mainepressassociation.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.eed.emnuvens.com.br/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.arhp.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.citybureau.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.halteobsolescence.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://loubayere.mesvideos.croire.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://biblehub.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.jbklutse.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://compgen.de/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://mobile.100blackmen.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.delawarecurrents.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.charityauctionstoday.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://wdtprs.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://troll.framasoft.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://tresbonneannee.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://nonprofitquarterly.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.ansys.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.catholicireland.net/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://aijac.org.au/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.gueydantoday.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.latinoartsinc.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.catechist.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://islam.com.ua/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://ocsvikings.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.mvariety.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://almanhaj.or.id/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://rcg.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.thecatholicmonitor.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://fundacionio.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://niemanstoryboard.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.unicef.fr/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.carencrocatholic.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www2.heart.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.birminghamdiocese.org.uk/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.chavagnes.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.christianheilmann.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.orderofmalta.int/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://fundraising.co.uk/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.thresholdpodcast.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.naia.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://en.llri.lt/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://fondation-stae.net/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.absolutelygospel.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://whowhatwhy.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.brethren.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://santegidio.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://realclearcatholic.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://amishcatholic.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://framapiaf.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.guidestar.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.vermiliontoday.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://uscatholic.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.santafecf.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://olmstedrochesterk9.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://m.zf.ro/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://nextlouisville.wfpl.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.wirenet.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.cnav.org.au/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.idealliance.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.epes.cl/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.newlifegillette.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://twarzesolidarnosci.gosc.pl/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://relevantradio.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://fondation.michelin.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://fab.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://4vientos.mx/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.diekaufmannschaft.at/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://catholicschools.diokzoo.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.kt.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://catv8.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://opentodebate.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://alt.framasoft.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.texas.aaa.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://fundacionsustrai.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://daem.de/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://catholicconvert.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.ucatholic.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.wvpress.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://hbcucampaignfund.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://thecatholicsun.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.jw.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://thecounter.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://hsmai.no/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://pelenat.mesvideos.croire.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.crosswalk.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://tanbooks.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.catholicleague.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.myjewishlearning.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://nos.nl/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://ccdallas.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.cieletespace.fr/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://wiki.april.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://memoriahistorica.org.es/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://lowicz.gosc.pl/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://canonlawmadeeasy.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.museumsassociation.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.actionforhappiness.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.aarp.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.jewishledger.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://muslim.or.id/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://catholickey.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.lafargeholcim-foundation.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.urdupoint.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.allleftturns.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://leohohmann.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.aviva-berlin.de/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.thegwpf.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://oumma.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.ccalliance.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.supportbarrow.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://mastodon.nl/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://delawarecurrents.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.thejewishweek.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.christianheadlines.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://cedra52.jimdofree.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.jaxjewishcenter.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://safeguarddefenders.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.biodiversidadla.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.paperforwater.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.roteskreuz.at/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://onepeterfive.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://kxoj.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://objective-see.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.jewishbookmall.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://ijadestek.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://prismreports.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.asociaciongerminal.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.ppic.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.scrippsranch.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://ksmradio.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://tomjoynerfoundation.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://jewishpostopinion.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.katholisches.info/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.egliserusse.eu/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://kcsjcatholic.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.dri.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://wdyn.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://unapologetichristian.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.grantforward.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://knightfoundation.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.futureofjewish.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://ahaugmard.mesvideos.croire.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.regnumchristi.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.sacbeekeepers.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://radtradthomist.chojnowski.me/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://avemariaradio.net/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://whav.net/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.catholic.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://wikimediafoundation.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.thelivingcoast.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.kirche-und-leben.de/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.interfaithfamily.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.hangarbicocca.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://4vents-st2.le-pic.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.dioceseofsalford.org.uk/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.rustonleader.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.accent4.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://fr.aleteia.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://m.100blackmen.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.nivut.org.il/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.vermilioncatholic.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://hartnellfoundation.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.regnumchristi.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://ohsjd.mesvideos.croire.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.tigerrag.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://catholicdioceseofwichita.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://proclaimfm.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://fisyp.org.ar/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://oratory-toronto.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://transparentproductions.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.christiantoday.co.jp/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.orguesevreux.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.fondazionebassetti.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.eff.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://coordinadoraongd.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www2.100blackmen.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.stedmund.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://olsztyn.gosc.pl/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://bonniebernstein.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.jewishbookcouncil.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://loudounnow.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://fsfe.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://spdx.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.uschamberfoundation.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.thethirdpole.net/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.wexnerfoundation.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.creditorsbar.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.westown.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.ecdq.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.sdchip.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.kcisradio.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.cal-catholic.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.scross.co.za/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://heartmakesomenoise.charitycheckout.co.uk/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.faith.org.uk/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.catholicoutlook.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.aciafrica.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://launcestoncarmel.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://obelaward.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.uscatholic.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://cab-inc.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.anglican.ca/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://english.fgtv.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://codeberg.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://elregional.com.mx/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.csmonitor.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.depaulprep.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://videos.globenet.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.theeponymousflower.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.tgen.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://legnica.gosc.pl/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://aish.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://archivo.radioondaazul.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.96five.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.clasicasymodernas.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.lupus.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.eaa.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://atmos.earth/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.krammer-dach.at/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.isc2.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.minnpost.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://yoursardp.ca/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.ag.state.mn.us/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.jccf.ca/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.exaudi.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.hopepres.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.iclimb.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.pharmafile.com/
